param,mean,sd,q5,q50,q95,rhat,ess
mu_player[67],-2.54927,0.0535634,-2.63947,-2.54921,-2.46015,0.99912,3046.39
mu_player[68],-1.47933,0.0459081,-1.55498,-1.47982,-1.40439,1.00096,3451.5
mu_player[69],-2.26662,0.0376149,-2.33016,-2.26728,-2.2055,1.00193,1800.63
mu_player[70],-1.91463,0.0333768,-1.96855,-1.91498,-1.85991,1.0002,3013.05
mu_player[71],-1.68897,0.0700015,-1.8079,-1.68865,-1.57437,1.00057,3895.16
mu_player[72],-2.21966,0.0655606,-2.33017,-2.21701,-2.11502,1.00048,3262.75
mu_player[73],-2.32676,0.0809972,-2.45982,-2.32857,-2.19448,1.00034,3117.31
mu_player[74],-2.23395,0.0554286,-2.3248,-2.23399,-2.14464,1.00219,3274.61
mu_player[75],-1.69358,0.0629134,-1.79551,-1.69385,-1.5924,1.01205,2616.16
mu_player[76],-1.11507,0.0436221,-1.18784,-1.11421,-1.04532,1.00239,3020.68
mu_player[77],-2.32967,0.0666556,-2.43488,-2.32949,-2.22185,1.0059,3352.39
mu_player[78],-1.53796,0.0504771,-1.62187,-1.53695,-1.4538,1.00396,3814.78
mu_player[79],-1.82888,0.0621081,-1.93129,-1.82841,-1.72491,0.998438,3426.62
mu_player[80],-1.82387,0.087807,-1.9695,-1.82305,-1.68481,1.00367,2637.15
sigma_position,0.603526,0.297904,0.267414,0.536729,1.20515,1.00211,1553.29
sigma_player,0.303285,0.0262692,0.262873,0.301102,0.350397,1.00266,3639.19
age_slope_position[1],-0.0235729,0.00622879,-0.0337617,-0.0235271,-0.0138758,1.0047,877.429
age_slope_position[2],-0.00830552,0.00754854,-0.0211781,-0.00819544,0.00387865,1.00485,632.952
age_slope_position[3],-0.00969106,0.0116076,-0.0285777,-0.00948843,0.00936828,1.00169,792.078
age_slope_player_sd,0.0364828,0.00350818,0.0312861,0.0361946,0.0427083,1.00058,972.296
age_slope_player_z[1],0.0150756,0.369885,-0.578971,0.0181192,0.629243,1.00196,2049.74
age_slope_player_z[2],-0.0911046,0.462873,-0.849016,-0.0987847,0.649067,1.00337,2583.76
age_slope_player_z[3],-0.926307,0.353012,-1.51654,-0.917176,-0.335393,1.00036,1576.47
age_slope_player_z[4],-0.212552,0.434448,-0.937814,-0.202257,0.514643,0.9998,1388.65
age_slope_player_z[5],-0.491462,0.362874,-1.07975,-0.486038,0.114646,1.00298,2122.28
age_slope_player_z[6],-1.19874,0.390633,-1.837,-1.18318,-0.581134,0.999705,1802.71
age_slope_player_z[7],1.0522,0.409083,0.409241,1.04878,1.73071,1.00131,2121.05
age_slope_player_z[8],-0.120434,0.401833,-0.786707,-0.120417,0.521919,1.00151,1150.54
age_slope_player_z[9],-0.196108,0.386408,-0.819499,-0.199922,0.426809,1.00006,1105.52
age_slope_player_z[10],-0.30957,0.367733,-0.90701,-0.294997,0.278249,1.00038,1553.07
age_slope_player_z[11],-1.24856,0.400364,-1.90811,-1.24555,-0.61315,1.00088,1716.3
age_slope_player_z[12],0.780656,0.427124,0.093345,0.775513,1.47654,1.00064,1890.94
age_slope_player_z[13],-0.640018,0.464234,-1.42465,-0.63048,0.127866,1.00311,2776.96
age_slope_player_z[14],-0.531196,0.480036,-1.32283,-0.543381,0.298951,1.00186,2248.99
age_slope_player_z[15],0.836724,0.373177,0.231134,0.834157,1.44565,1.00278,1686.96
age_slope_player_z[16],-0.828914,0.393088,-1.47893,-0.82828,-0.185052,1.00113,1102.4
age_slope_player_z[17],-0.179886,0.429405,-0.881199,-0.182298,0.55315,1.00164,2156.56
age_slope_player_z[18],-0.765666,0.334622,-1.32282,-0.754985,-0.222308,1.00063,1356.47
age_slope_player_z[19],0.220326,0.481804,-0.574503,0.211208,1.03051,1.00464,2498.21
age_slope_player_z[20],-0.788885,0.386167,-1.45215,-0.785899,-0.172719,1.00007,1563.06
age_slope_player_z[21],-1.05565,0.415898,-1.73991,-1.0559,-0.369747,1.00446,1628.44
age_slope_player_z[22],0.373105,0.451616,-0.363944,0.362426,1.1312,1.00213,2035.51
age_slope_player_z[23],-1.03871,0.366873,-1.66897,-1.02428,-0.456952,1.00184,1575.09
age_slope_player_z[24],0.789503,0.391959,0.13624,0.79306,1.41778,1.00046,1008.7
age_slope_player_z[25],0.606565,0.452408,-0.122043,0.607571,1.34916,0.99982,2653.81
age_slope_player_z[26],0.134277,0.491455,-0.651184,0.119099,0.954913,1.00605,2852.0
age_slope_player_z[27],0.157145,0.401426,-0.494442,0.161785,0.84814,1.0057,2093.74
age_slope_player_z[28],1.03607,0.372709,0.428951,1.02561,1.69363,1.00341,1477.5
age_slope_player_z[29],2.00128,0.464704,1.24811,1.99218,2.75601,0.99948,1637.53
age_slope_player_z[30],0.736015,0.410827,0.0866682,0.731652,1.39552,1.00298,1863.92
age_slope_player_z[31],-1.13854,0.444935,-1.87036,-1.13922,-0.42238,0.999775,2324.66
age_slope_player_z[32],0.0316541,0.394422,-0.61604,0.0349045,0.671085,1.00236,1666.83
age_slope_player_z[33],0.979657,0.326217,0.465071,0.975483,1.52874,0.999577,1074.48
age_slope_player_z[34],-0.438333,0.461438,-1.20618,-0.443758,0.315903,1.00438,2649.53
age_slope_player_z[35],0.29921,0.404016,-0.38119,0.305488,0.953312,1.00127,1760.19
age_slope_player_z[36],-1.71905,0.42305,-2.44726,-1.70308,-1.05557,1.00002,1895.98
age_slope_player_z[37],0.53954,0.431473,-0.155056,0.528485,1.26465,1.00099,1132.68
age_slope_player_z[38],-2.30118,0.446638,-3.03033,-2.30463,-1.58594,1.00081,1556.75
age_slope_player_z[39],0.163407,0.35065,-0.396085,0.163602,0.719075,0.99925,1889.08
age_slope_player_z[40],0.808399,0.497349,-0.0229105,0.81042,1.65438,1.00106,1517.4
age_slope_player_z[41],0.260976,0.35431,-0.333905,0.264514,0.83328,1.00199,1287.62
age_slope_player_z[42],0.36656,0.397059,-0.293597,0.346328,1.00517,1.00012,1096.3
age_slope_player_z[43],-1.02544,0.421285,-1.67923,-1.03154,-0.321514,0.999086,1993.87
age_slope_player_z[44],0.207136,0.453027,-0.527884,0.222919,0.958851,1.00008,2296.9
age_slope_player_z[45],-0.750145,0.437309,-1.4582,-0.740769,-0.0334814,0.999615,1901.18
age_slope_player_z[46],1.45329,0.446545,0.723156,1.44294,2.16761,1.0021,1959.85
age_slope_player_z[47],1.00418,0.348582,0.441823,0.986958,1.58717,1.00111,1255.49
age_slope_player_z[48],0.148823,0.486535,-0.625258,0.143944,0.935246,1.00213,2813.31
age_slope_player_z[49],1.11411,0.409467,0.447021,1.11048,1.79387,1.00216,1799.5
age_slope_player_z[50],-0.0133656,0.394791,-0.671154,-0.0106394,0.630822,1.00046,1126.63
