coc_number,year,rent_coc,income_coc,homeless_per_10k,unsheltered_per_10k,total_population
GU-500,2012,,,,,
GU-500,2013,,,,,
GU-500,2014,,,,,
GU-500,2015,,,,,
GU-500,2016,,,,,
GU-500,2017,,,,,
GU-500,2018,,,,,
GU-500,2019,,,,,
GU-500,2021,,,,,
GU-500,2022,,,,,
GU-500,2023,,,,,
GU-500,2024,,,,,
HI-500,2012,1134.5899059999856,55914.02090893132,44.37588933454919,28.177400412112064,426583.0
HI-500,2013,1165.3962851462923,56878.742316801734,41.703490293799796,26.372358954763786,426583.0
HI-500,2014,1143.7857174587514,60197.64664224208,51.7132656481857,34.506766561255375,426583.0
HI-500,2015,1248.988852840862,66848.5537924373,63.692177137860625,44.63375239988466,426583.0
HI-500,2016,1237.8987787278854,64590.356766095305,69.88089070591185,50.0488767719295,426583.0
HI-500,2017,1276.791151543603,70472.09321553014,53.002580974863044,34.600534948650086,426583.0
HI-500,2018,1368.244827789814,71009.12197559126,47.70466708706161,31.177988808742963,426583.0
HI-500,2019,1384.9994176218122,74706.97523646367,46.76698321311444,28.997873801815825,426583.0
HI-500,2021,1478.2649536570532,73859.97242571965,14.909173595759793,0.0,426583.0
HI-500,2022,1520.9806294854777,83291.96521856509,47.39991982802878,32.67828300705842,426583.0
HI-500,2023,1669.500410580871,82739.84489466246,51.45540258285023,36.1477133406629,426583.0
HI-500,2024,1790.8968130482604,88620.54599797909,167.3765714995675,29.912115578914303,426583.0
HI-501,2012,1483.0,71404.0,44.103388149329426,13.353610287345782,986999.0
HI-501,2013,1535.0,73388.0,46.160127821811365,14.842973498453391,986999.0
HI-501,2014,1602.0,74634.0,47.74067653563985,16.545102882576376,986999.0
HI-501,2015,1638.0,77273.0,49.67583553782729,19.645409975086093,986999.0
HI-501,2016,1621.0,80513.0,50.05070927123533,22.01623304582882,986999.0
HI-501,2017,1712.0,81284.0,50.24321199920162,23.5461231470346,986999.0
HI-501,2018,1726.0,84423.0,45.54209274781434,21.732544815141658,986999.0
HI-501,2019,1774.0,87470.0,44.75181839090009,24.346529226473383,986999.0
HI-501,2021,1884.0,90704.0,18.784213560500064,0.0,986999.0
HI-501,2022,1914.0,96580.0,39.96964535931647,23.799416210148138,986999.0
HI-501,2023,2033.0,103131.0,40.810578328853424,23.9615237705408,986999.0
HI-501,2024,2001.0,105205.0,45.56235619286341,28.02434450288197,986999.0
IA-500,2012,631.0,42013.0,20.30489835367884,1.3807330880501612,123123.0
IA-500,2013,674.0,45594.0,19.167824045872827,0.9746351209765844,123123.0
IA-500,2014,655.0,44721.0,24.122219244170463,2.3553682090267456,123123.0
IA-500,2015,706.0,51146.0,22.41660778246144,0.893415527561869,123123.0
IA-500,2016,703.0,52324.0,28.264418508320947,0.7309763407324383,123123.0
IA-500,2017,742.0,55273.0,23.391242903438027,0.16243918682943073,123123.0
IA-500,2018,801.0,61516.0,21.441972661484858,0.4873175604882922,123123.0
IA-500,2019,825.0,58945.0,20.710996320752418,0.5685371539030075,123123.0
IA-500,2021,828.0,59376.0,18.92416526562868,1.2995134946354459,123123.0
IA-500,2022,925.0,67817.0,17.218553803919658,1.2995134946354459,123123.0
IA-500,2023,1025.0,64913.0,22.41660778246144,1.543172274879592,123123.0
IA-500,2024,995.0,78923.0,23.959780057341032,1.6243918682943073,123123.0
IA-501,2012,709.3981885493282,53788.330497935465,7.628853801630114,0.23378745521124542,2438112.0
IA-501,2013,726.810548970147,53972.918665438825,7.874945859747214,0.2501935924190521,2438112.0
IA-501,2014,775.1638771085352,57930.21602587673,7.952875011484296,0.26659972962685885,2438112.0
IA-501,2015,766.3250878644328,57075.71583271561,8.100530246354555,0.4060518958932157,2438112.0
IA-501,2016,800.1339662274104,59016.09462957297,7.887250462653069,0.26659972962685885,2438112.0
IA-501,2017,823.3775952125368,61494.2821522557,7.3499494690974,0.2050767150975837,2438112.0
IA-501,2018,825.0083827307132,61338.49663652398,7.058740533658831,0.5249963906498143,2438112.0
IA-501,2019,858.4744162018596,66155.74471819102,5.656015802391358,0.36503655287369896,2438112.0
IA-501,2021,892.3540360439343,69064.50846234242,7.075146670866638,1.6160045149689597,2438112.0
IA-501,2022,953.1504497096873,72597.13418674404,6.56655641742463,1.2140541533776956,2438112.0
IA-501,2023,1017.7528371970808,73280.6238015724,7.107958945282251,1.2632725650011156,2438112.0
IA-501,2024,1063.952572897778,76259.8254963667,6.648587103463664,1.218155687679647,2438112.0
IA-502,2012,772.0385774712952,58195.45342675114,17.299245219973226,1.5649683939829082,472853.0
IA-502,2013,790.506999960821,59877.54002511973,19.62554958940728,1.2900415139588837,472853.0
IA-502,2014,817.8961650913185,61449.24333772998,18.737324284714276,2.157118597111576,472853.0
IA-502,2015,825.0502713516329,60714.49746134556,17.55302387845694,1.96678460324879,472853.0
IA-502,2016,855.3974721401602,64425.78028293469,16.770539681465486,1.45922728628136,472853.0
IA-502,2017,883.2166207231884,66689.54206744138,14.296197761249267,1.0997075200960975,472853.0
IA-502,2018,888.3456019232216,68784.65061525091,16.15724125679651,2.2628597048131236,472853.0
IA-502,2019,948.6273118122793,67822.97922695117,14.401938868950817,1.9456363817084803,472853.0
IA-502,2021,978.1561814654876,73909.09206597513,12.181375607218312,2.495490141756529,472853.0
IA-502,2022,1055.0551532504462,78061.51259209434,12.815822253427598,1.9879328247890993,472853.0
IA-502,2023,1147.880025050718,79681.41144661905,13.61945467195936,2.728120578699934,472853.0
IA-502,2024,1182.9201387708658,82892.61654365963,15.12097840132134,3.108788566425506,472853.0
ID-500,2012,806.0,53909.0,17.70792723310114,1.2447216755362873,425798.0
ID-500,2013,837.0,52542.0,16.298808355135534,1.1507804170052467,425798.0
ID-500,2014,864.0,57716.0,17.684441918468384,1.080324473106966,425798.0
ID-500,2015,902.0,57399.0,17.7314125477339,1.9023104852535708,425798.0
ID-500,2016,879.0,61301.0,20.361767786603036,2.935664329095017,425798.0
ID-500,2017,942.0,60858.0,19.563267089089194,2.606869924236375,425798.0
ID-500,2018,991.0,66405.0,17.75489786236666,2.8417230705639764,425798.0
ID-500,2019,1113.0,72021.0,16.745029333157976,1.4326041925983681,425798.0
ID-500,2021,1292.0,79279.0,13.504055913837076,1.71442796819149,425798.0
ID-500,2022,1499.0,87774.0,14.560895072311284,1.8788251706208108,425798.0
ID-500,2023,1599.0,90526.0,16.134411152706214,2.7008111827674157,425798.0
ID-500,2024,1683.0,91725.0,18.529913245247748,2.747781812032936,425798.0
ID-501,2012,698.0573131083519,44268.00705902954,10.035670443131888,3.579444235482791,1209685.0
ID-501,2013,719.7274911665382,47125.25379769621,8.985810355588438,2.7114496749153703,1209685.0
ID-501,2014,735.3282169172203,45818.3297521629,11.168196679300811,4.8773027689026485,1209685.0
ID-501,2015,760.7020386983622,46010.89583491054,10.01087059854425,3.207446566668182,1209685.0
ID-501,2016,810.8220487454576,51546.579346015984,11.407928510314669,5.067434910741226,1209685.0
ID-501,2017,842.4567860414606,51864.59472581007,9.953004294506421,4.364772647424743,1209685.0
ID-501,2018,854.3811431881104,54129.716272365964,10.382868267358857,4.9765021472532105,1209685.0
ID-501,2019,876.5954063142868,59575.95253114056,13.243117009800072,7.638352132993299,1209685.0
ID-501,2021,1018.6026075423196,63998.29958022261,10.862331929386574,6.605025275174942,1209685.0
