state,overall_homeless,unsheltered,chronic_ind,ppl_in_families,individuals,shelt_es,shelt_th,year,population,cb_share,severe_share,renter_hh_total,unsheltered_share,chronic_share,family_share,es_share,th_share,homeless_per_10k
TN,7467.0,2598.0,1020.0,1830.0,5637.0,3240.0,1618.0,2019,6829174.0,0.46399518001790135,0.22474778154373315,889017.0,0.34793089594214544,0.13660104459622338,0.24507834471675372,0.43390920048212134,0.21668675505557788,10.933972395490288
TN,7256.0,2784.0,1092.0,1583.0,5673.0,3241.0,1226.0,2020,6772268.0,,,,0.3836824696802646,0.15049614112458654,0.21816427783902978,0.446664829106946,0.16896361631753032,10.714283604842572
TN,6823.0,3380.0,675.0,1259.0,5096.0,2513.0,926.0,2021,6975218.0,0.4815906102371792,0.2328434714849267,901349.0,0.4953832624945039,0.0989300894034882,0.18452293712443207,0.36831305877180126,0.13571742635204456,9.781773128811171
TN,10567.0,6133.0,1653.0,2360.0,8207.0,3538.0,895.0,2022,7051339.0,0.48783969809887734,0.22613034913250896,932654.0,0.5803917857480837,0.15643039651746002,0.2233368032554178,0.3348159364057916,0.08469764360745718,14.98580624190668
TN,9215.0,4521.0,1857.0,1600.0,7615.0,3739.0,953.0,2023,7126489.0,0.4926104701220656,0.24257930418998286,945944.0,0.49061313076505697,0.20151926207270754,0.17362995116657623,0.4057514921323928,0.10341833966359197,12.930631058295326
TN,8280.0,4348.0,1577.0,1640.0,6640.0,3166.0,764.0,2024,7227750.0,0.5015498317550299,0.23289621859033868,971761.0,0.5251207729468599,0.19045893719806764,0.19806763285024154,0.3823671497584541,0.09227053140096618,11.455847255369928
TX,39788.0,16906.0,7931.0,13482.0,26306.0,13840.0,9042.0,2007,23904380.0,0.47533917970067824,0.22438024182920274,2870498.0,0.42490198049663214,0.19933145672061928,0.33884588318085856,0.3478435709259073,0.22725444857746055,16.644648386613667
TX,40190.0,16110.0,8844.0,12240.0,27950.0,14876.0,9204.0,2008,24326974.0,0.4772802075894759,0.22672920211468556,2956395.0,0.40084598158745954,0.2200547399850709,0.30455337148544415,0.37014182632495646,0.22901219208758397,16.520755931255568
TX,36761.0,15103.0,6020.0,14197.0,22564.0,12672.0,8986.0,2009,24782302.0,0.4947299468762348,0.240408482240857,3097238.0,0.41084301297570797,0.16376050705911155,0.38619732869073203,0.3447131470852262,0.24444383993906585,14.833569536841251
TX,35121.0,15930.0,6512.0,11043.0,24078.0,10577.0,8497.0,2010,25257114.0,0.5030846529257693,0.24973929024820934,3182761.0,0.45357478431707526,0.18541613279804106,0.3144272657384471,0.3011588508299878,0.24193502462913927,13.905389190546472
TX,36911.0,17939.0,7390.0,13334.0,23577.0,10027.0,8788.0,2011,25674681.0,0.49936570233599936,0.24506618830051174,3282070.0,0.4860068814174636,0.20021131911896184,0.36124732464576953,0.2716534366449026,0.23808620736365854,14.376420100409428
TX,34052.0,16551.0,6115.0,13309.0,20743.0,10055.0,7302.0,2012,26059203.0,0.48234376301574383,0.23798226334574302,3384103.0,0.48605074591800773,0.17957829202396336,0.3908434159520733,0.29528368377775166,0.2144367438035945,13.067168631366048
TX,29615.0,12090.0,4770.0,8857.0,20758.0,9935.0,7456.0,2013,26448193.0,0.4769366684466114,0.2289316510525438,3476536.0,0.40823906803984467,0.16106702684450447,0.2990714165119028,0.33547188924531485,0.25176430862738475,11.197362330197757
TX,28495.0,10267.0,4952.0,9318.0,19177.0,10601.0,7494.0,2014,26956958.0,0.4891711162633458,0.23652203779140163,3602956.0,0.3603088261098438,0.17378487453939287,0.32700473767327604,0.372030180733462,0.26299350763291807,10.57055473395774
TX,23678.0,7486.0,3778.0,7413.0,16265.0,10244.0,5829.0,2015,27469114.0,0.4756072254552807,0.22628533139300627,3668586.0,0.31615845932933523,0.15955739505025762,0.31307542866796184,0.43263789171382716,0.24617788664583157,8.619863021428356
TX,23122.0,6908.0,3534.0,7163.0,15959.0,10448.0,5669.0,2016,27862596.0,0.4732444447028792,0.22234329890013402,3710141.0,0.2987630827783064,0.15284144970158292,0.3097915405241761,0.4518640256033215,0.2451777527895511,8.298580649125444
TX,23548.0,8493.0,3497.0,6840.0,16708.0,10545.0,4439.0,2017,28304596.0,0.4798979117236669,0.22862887320212183,3659691.0,0.36066757261763205,0.1485051809070834,0.2904705282826567,0.4478087311024291,0.18850857822320366,8.319496946714944
TX,25310.0,10534.0,3269.0,6111.0,19199.0,11307.0,3405.0,2018,28701845.0,0.48755007756597146,0.23288624147805354,3742001.0,0.41619913077834847,0.12915843540102726,0.2414460687475306,0.4467404188067957,0.13453180561043065,8.818248443610505
TX,25848.0,11222.0,3338.0,6237.0,19611.0,10950.0,3555.0,2019,28995881.0,0.4801797420453275,0.22314450581216072,3805848.0,0.43415351284432063,0.12913958526771896,0.24129526462395542,0.42363045496750235,0.13753481894150418,8.91436959615057
TX,27229.0,13212.0,3862.0,6114.0,21115.0,10727.0,3141.0,2020,28635442.0,,,,0.48521796613904294,0.14183407396525763,0.22454001248668698,0.3939549744757428,0.1153549524404128,9.508845716437692
TX,17295.0,6020.0,2936.0,4465.0,12830.0,8720.0,2481.0,2021,29527941.0,0.5089290858303613,0.25396819496876555,4035245.0,0.34807747904018504,0.16976004625614338,0.258167100318011,0.5041919629950853,0.14345186470078058,5.85716423640917
TX,24432.0,10971.0,4812.0,5853.0,18579.0,10762.0,2587.0,2022,30029572.0,0.5300741124255036,0.25882052917781895,4161092.0,0.44904223968565815,0.1969548133595285,0.23956286836935167,0.44048788474132283,0.10588572364112639,8.135980093222773
TX,27377.0,11686.0,4691.0,6355.0,21022.0,11937.0,3637.0,2023,30503301.0,0.5300406961405382,0.2598384385458964,4212276.0,0.42685465902034553,0.17134821200277606,0.2321291595134602,0.4360229389633634,0.13284874164444607,8.975094203738802
TX,27987.0,12339.0,5028.0,6339.0,21648.0,12026.0,3496.0,2024,31290831.0,0.5266051931608556,0.254818707668826,4314892.0,0.4408832672312145,0.1796548397470254,0.22649801693643476,0.42969950334083684,0.12491513917175831,8.944153640406673
