coc_number,emp_2012,emp_2023,employment_growth_12_23,avg_weekly_wage_2012,avg_weekly_wage_2023,inmig_persons,in_migration_rate,pop_2012,pop_2024,population_growth_12_24
FL-515,100208.0,112571.0,0.12337338336260578,658.4369311831391,954.2341366781853,20975.0,0.06952754417775185,293684.0,308308.0,0.049795017774206286
FL-517,66298.0,72210.0,0.08917312739449154,604.7312890283266,913.6137792549508,15710.0,0.06221437227242846,252109.0,262524.0,0.041311496217905745
FL-518,37028.0,40719.0,0.0996813222426272,626.2021173166253,933.2320292738034,7783.0,0.057671075543699754,133229.0,138908.0,0.04262585473132726
FL-519,98668.0,140800.0,0.42700774313860623,649.0,1020.0,52217.0,0.10693411971903094,465276.0,611444.0,0.31415331974999783
FL-520,171849.0,238071.0,0.3853499292983957,643.4226850316267,964.0203846751599,76280.0,0.10192070013695427,705824.0,925822.0,0.311689599673573
FL-600,992676.0,1234673.0,0.24378246275723398,904.0,1427.0,67097.0,0.025182610236081576,2512219.0,2738356.0,0.09001484345114817
FL-601,701424.0,856110.0,0.22053137617190174,866.0,1332.0,83505.0,0.04480410778096127,1761993.0,1977129.0,0.12209810141129959
FL-602,41362.0,53654.0,0.29718098737972054,639.0,1007.0,16338.0,0.09630869713868027,160380.0,201064.0,0.2536725277466018
FL-603,203404.0,293572.0,0.44329511710684155,743.0,1151.0,46714.0,0.06859920407653788,624155.0,817666.0,0.3100367697126515
FL-604,36524.106234607905,45692.63084899546,0.2510266659365931,725.0,1091.0,5377.721166558652,0.06970836033700584,73471.19053791315,81855.75580038886,0.11412044913235808
FL-605,505914.0,658485.0,0.30157497124017124,919.0,1439.0,64686.0,0.046245344974144904,1324085.0,1533806.0,0.1583893783254096
FL-606,118493.0,165907.0,0.40014178052711974,803.0,1254.0,23227.0,0.06669902020468878,323548.0,398291.0,0.2310105455759269
GA-500,317859.20234760013,411345.6954961974,0.29411290426118786,1252.919832453246,1831.619043437813,35259.84387580128,0.07768949595422618,424079.80689588934,489492.0393876882,0.15424510063469593
GA-501,2054907.6018116437,2522685.998541524,0.22763962541064064,728.1047208435382,1044.1401891645437,480682.78860490257,0.07019555259472213,6626710.961884977,7486817.196625413,0.12979383583915627
GA-502,416470.94078848703,541404.53479654,0.29998153957997997,1261.8070253149335,1844.6404595042993,45160.765327035086,0.07825330582910552,538317.5100124562,623405.275913503,0.15806241543039895
GA-503,64525.0,72404.0,0.1221077101898489,746.0,1074.0,7262.0,0.05950654309758516,117762.0,129609.0,0.10060121261527488
GA-504,98246.0,103927.0,0.057824237119068464,798.0,1086.0,13010.0,0.06459204241924754,200337.0,206069.0,0.028611789135307007
