coc_number,rent_2012,rent_2024,income_2012,income_2024,homeless_per_10k_2012,homeless_per_10k_2024,d_rent,d_income,d_homeless
GA-505,759.5232611248858,1068.5881373751533,39715.86483753099,56532.616961626074,12.860171700670815,10.504404512259645,309.0648762502675,16816.75212409508,-2.3557671884111695
GA-506,968.0,1730.0,65180.0,102738.0,5.381747090836202,5.73869970400391,762.0,37558.0,0.35695261316770743
GA-507,920.0,1471.0,45653.0,71097.0,39.55939747994608,20.487380269131286,551.0,25444.0,-19.072017210814792
GA-508,966.0,1692.0,51252.0,80644.0,,4.645459135829185,726.0,29392.0,
GU-500,,,,,,,,,
HI-500,1170.4750238680178,1720.2127642324028,58730.22740023905,88661.7098724838,44.37588933454919,167.3765714995675,549.737740364385,29931.482472244752,123.0006821650183
HI-501,1433.0,2083.0,72292.0,106195.0,44.103388149329426,45.56235619286341,650.0,33903.0,1.4589680435339858
IA-500,651.1756515791787,995.7267811380789,45227.65906999845,73100.8925635379,20.30489835367884,23.959780057341032,344.55112955890013,27873.233493539446,3.6548817036621912
IA-501,617.1775795983052,912.7313599473806,50558.65646961543,74281.2016031331,7.628853801630114,6.648587103463664,295.5537803490754,23722.54513351767,-0.9802666981664494
IA-502,758.3511232748601,1154.8758406240847,58461.121195571024,84257.99648922631,17.299245219973226,15.12097840132134,396.5247173492246,25796.875293655285,-2.1782668186518865
ID-500,821.0,1577.0,55499.0,91502.0,17.70792723310114,18.529913245247748,756.0,36003.0,0.8219860121466063
ID-501,681.8228022188837,1131.449054529448,44585.01728024747,73041.62124229949,10.035670443131888,16.210831745454396,449.62625231056427,28456.603962052017,6.175161302322508
IL-500,1029.0,1401.0,77325.0,104802.0,6.511736075350089,5.315702918653134,372.0,27477.0,-1.1960331566969549
IL-501,718.0488934917694,1024.1635375993249,50073.20849805207,68800.2856692876,24.872136201219085,14.187626988019337,306.1146441075555,18727.077171235527,-10.684509213199748
IL-502,1006.1407720035739,1475.5335067136104,78633.98317219697,109961.61686086575,6.175092695002566,9.674311888837353,469.3927347100365,31327.63368866878,3.4992191938347874
IL-503,788.0,1051.0,45088.0,63683.0,10.124987888770468,13.516132157736655,263.0,18595.0,3.391144268966187
IL-504,761.0,1024.0,52756.0,75793.0,7.347455943379605,4.535929434433327,263.0,23037.0,-2.8115265089462778
IL-506,983.9728775919144,1496.4387336729362,76645.53740805613,109119.20961156882,3.633081264911551,4.457079077571903,512.4658560810218,32473.672203512688,0.8239978126603518
IL-507,667.927882715661,938.1413523855986,53523.50074624048,71767.23166704697,9.46178545904758,12.380846930455878,270.2134696699376,18243.73092080649,2.9190614714082983
IL-508,777.1097470854442,1088.5233280401114,51053.63359406979,74746.95583974433,16.50110678155242,8.67131331979584,311.4135809546673,23693.322245674543,-7.82979346175658
IL-509,815.0,1049.0,53575.0,70724.0,,,234.0,17149.0,
IL-510,950.1336775778448,1435.266226133212,54672.75625840861,83528.09302354784,24.70226590829606,69.34305225762512,485.1325485553673,28855.336765139233,44.64078634932906
IL-511,950.0357545223928,1435.1002135073134,54725.60161540132,83596.30573906291,4.96934371053933,4.753285288341968,485.0644589849205,28870.70412366159,-0.21605842219736182
IL-512,687.3185229119332,961.1611556976056,52511.159911275055,72380.41011871888,12.525125251252513,7.425074250742507,273.84263278567244,19869.250207443823,-5.100051000510006
IL-513,716.0,983.0,55355.0,75357.0,12.635987897643465,19.53292153101858,267.0,20002.0,6.896933633375115
IL-514,1074.3786856342476,1679.0345541548359,78453.10762013837,112012.21671847352,6.987579332462702,5.232508704496251,604.6558685205882,33559.109098335146,-1.7550706279664512
IL-515,593.6246703308746,785.4381753514957,45539.68126992322,68563.0542862656,3.0719758998535855,6.589883785169788,191.81350502062116,23023.373016342382,3.5179078853162027
IL-516,656.0,847.0,46165.0,62666.0,19.371978893767757,12.914652595845173,191.0,16501.0,-6.4573262979225845
IL-517,987.4630588775666,1471.3274695569341,69228.17402442706,103489.05612108276,7.3283491490783454,9.572762345547815,483.86441067936755,34260.882096655696,2.24441319646947
IL-518,634.1977792106303,866.4670525871165,49278.558960561226,69399.09578339825,3.9817596046703168,5.056683300227702,232.26927337648624,20120.536822837028,1.074923695557385
IL-519,591.3977450864805,770.6765119214921,43514.59316364716,64181.759402615346,7.643798968087139,6.355018909514308,179.27876683501154,20667.166238968188,-1.288780058572831
IL-520,590.7886395244614,807.1353827925483,43329.76362686153,63870.86485838261,7.0935940185986786,4.504691092102811,216.34674326808693,20541.101231521076,-2.5889029264958676
IN-502,712.8166043868522,1048.169347794414,50435.1987917925,74819.0339440066,8.152102825378845,8.102610440489295,335.3527434075619,24383.835152214102,-0.04949238488955032
IN-503,751.0,1153.0,42603.0,66346.0,17.668981764580934,18.24829264210818,402.0,23743.0,0.5793108775272451
KS-502,688.0,998.0,49885.0,69365.0,10.822063629798848,13.596447214892734,310.0,19480.0,2.7743835850938865
KS-503,698.0,1000.0,47992.0,67104.0,32.31280135747367,30.07274580409594,302.0,19112.0,-2.2400555533777258
KS-505,905.0,1434.0,75139.0,109208.0,5.031200430447148,4.3673614847631494,529.0,34069.0,-0.6638389456839988
KS-507,646.0147856953269,905.4339112841881,47475.09675768254,68263.45234572966,7.06018212968397,7.371561207311451,259.4191255888612,20788.355588047118,0.31137907762748096
KY-500,604.7095317063362,893.0388879829712,42184.94944938336,63602.29196076984,6.968524301231825,8.016197628307056,288.32935627663505,21417.34251138648,1.0476733270752314
KY-501,706.0,1149.0,46701.0,69866.0,20.165217894919735,22.745102168682312,443.0,23165.0,2.579884273762577
KY-502,731.0,1164.0,48779.0,69479.0,43.97664422894819,26.482285758308215,433.0,20700.0,-17.494358470639973
LA-500,637.5670304706714,899.7258559475439,43399.258791060936,57141.75004855613,7.913713028599365,6.737350281104865,262.1588254768725,13742.491257495196,-1.1763627474945002
