row_idx,nba_api_id,season,role_mode
809,1628389,2020-21,team
810,1628389,2021-22,team
811,1628389,2022-23,team
812,1628390,2019-20,league_fallback
813,1628392,2020-21,trade
814,1628392,2021-22,trade
815,1628392,2022-23,trade
816,1628396,2019-20,league_fallback
817,1628396,2020-21,trade
818,1628396,2021-22,trade
819,1628398,2019-20,league_fallback
820,1628398,2020-21,team
821,1628398,2021-22,trade
822,1628398,2022-23,team
823,1628400,2019-20,league_fallback
824,1628400,2020-21,team
825,1628401,2019-20,league_fallback
826,1628401,2020-21,team
827,1628401,2021-22,team
828,1628401,2022-23,trade
829,1628402,2019-20,league_fallback
830,1628402,2020-21,trade
831,1628402,2021-22,team
832,1628404,2019-20,league_fallback
833,1628404,2020-21,team
834,1628404,2021-22,team
835,1628404,2022-23,trade
836,1628407,2019-20,league_fallback
837,1628407,2020-21,trade
838,1628408,2020-21,team
839,1628410,2020-21,team
840,1628410,2022-23,fa
841,1628411,2019-20,league_fallback
842,1628411,2020-21,trade
843,1628415,2019-20,league_fallback
844,1628415,2020-21,team
845,1628415,2021-22,team
846,1628415,2022-23,team
847,1628418,2019-20,league_fallback
848,1628418,2022-23,trade
849,1628420,2019-20,league_fallback
850,1628420,2020-21,team
851,1628420,2021-22,team
852,1628420,2022-23,trade
853,1628422,2019-20,league_fallback
854,1628422,2020-21,trade
855,1628425,2019-20,league_fallback
856,1628425,2020-21,trade
857,1628425,2021-22,trade
858,1628427,2022-23,team
859,1628432,2021-22,fa
860,1628436,2019-20,league_fallback
861,1628436,2022-23,team
862,1628449,2019-20,league_fallback
863,1628449,2020-21,team
864,1628449,2021-22,team
865,1628449,2022-23,team
866,1628464,2019-20,league_fallback
867,1628464,2020-21,team
868,1628464,2021-22,trade
869,1628467,2019-20,league_fallback
870,1628467,2020-21,team
871,1628467,2021-22,team
872,1628467,2022-23,team
873,1628470,2019-20,league_fallback
874,1628470,2020-21,trade
875,1628470,2021-22,trade
876,1628470,2022-23,trade
877,1628539,2020-21,team
878,1628960,2019-20,league_fallback
879,1628960,2020-21,team
880,1628960,2021-22,trade
881,1628960,2022-23,team
882,1628963,2020-21,team
883,1628963,2021-22,team
884,1628963,2022-23,trade
885,1628964,2019-20,league_fallback
886,1628964,2020-21,team
887,1628964,2021-22,team
888,1628964,2022-23,team
889,1628966,2019-20,league_fallback
890,1628966,2021-22,team
891,1628966,2022-23,team
892,1628969,2019-20,league_fallback
893,1628969,2020-21,team
894,1628969,2021-22,team
895,1628969,2022-23,team
896,1628970,2019-20,league_fallback
897,1628970,2020-21,team
898,1628970,2021-22,team
899,1628971,2019-20,league_fallback
900,1628971,2020-21,trade
901,1628971,2021-22,team
902,1628971,2022-23,trade
903,1628972,2019-20,league_fallback
904,1628972,2020-21,team
905,1628972,2021-22,trade
906,1628972,2022-23,trade
907,1628973,2019-20,league_fallback
908,1628973,2020-21,team
909,1628973,2021-22,team
910,1628973,2022-23,trade
911,1628975,2019-20,league_fallback
912,1628975,2020-21,team
913,1628975,2021-22,trade
914,1628975,2022-23,trade
915,1628976,2019-20,league_fallback
916,1628976,2020-21,team
917,1628976,2021-22,trade
918,1628976,2022-23,team
919,1628977,2019-20,league_fallback
920,1628977,2020-21,team
921,1628977,2021-22,trade
922,1628977,2022-23,team
923,1628978,2019-20,league_fallback
924,1628978,2020-21,team
925,1628978,2021-22,trade
926,1628978,2022-23,trade
927,1628981,2019-20,league_fallback
928,1628983,2019-20,league_fallback
929,1628983,2020-21,team
930,1628983,2021-22,team
931,1628983,2022-23,team
932,1628984,2019-20,league_fallback
933,1628984,2020-21,team
934,1628984,2021-22,trade
935,1628984,2022-23,team
936,1628988,2019-20,league_fallback
937,1628988,2020-21,team
938,1628988,2021-22,trade
939,1628988,2022-23,trade
940,1628989,2019-20,league_fallback
941,1628989,2020-21,team
942,1628989,2021-22,team
943,1628989,2022-23,trade
944,1628990,2019-20,league_fallback
945,1628991,2019-20,league_fallback
946,1628991,2021-22,team
947,1628991,2022-23,team
948,1628995,2019-20,league_fallback
949,1628995,2022-23,trade
950,1628997,2020-21,team
951,1628997,2021-22,trade
952,1628997,2022-23,team
953,1628998,2019-20,league_fallback
954,1628998,2020-21,team
955,1628998,2021-22,team
956,1629001,2019-20,league_fallback
957,1629001,2020-21,team
958,1629001,2021-22,team
959,1629001,2022-23,trade
960,1629002,2021-22,team
961,1629002,2022-23,team
962,1629003,2019-20,league_fallback
963,1629003,2020-21,team
964,1629003,2021-22,team
965,1629003,2022-23,team
966,1629004,2019-20,league_fallback
967,1629004,2020-21,trade
968,1629004,2021-22,trade
969,1629006,2019-20,league_fallback
970,1629006,2020-21,team
971,1629006,2021-22,team
972,1629006,2022-23,trade
973,1629008,2019-20,league_fallback
974,1629008,2020-21,team
975,1629008,2022-23,team
976,1629010,2019-20,league_fallback
977,1629011,2019-20,league_fallback
978,1629011,2020-21,team
979,1629011,2021-22,team
980,1629011,2022-23,team
981,1629012,2019-20,league_fallback
982,1629012,2020-21,team
983,1629012,2022-23,trade
984,1629013,2019-20,league_fallback
985,1629013,2020-21,trade
986,1629013,2021-22,trade
987,1629013,2022-23,team
988,1629014,2019-20,league_fallback
989,1629014,2020-21,team
990,1629014,2021-22,team
991,1629014,2022-23,team
992,1629016,2019-20,league_fallback
993,1629018,2019-20,league_fallback
994,1629018,2020-21,team
995,1629018,2021-22,trade
